Keyphrase,Score_Charcot,Score_Autres,Score_Moyen,Renvoie_a,Dans_Reference,Sources_Charcot,Sources_Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' inertie,0.756,0.787,0.772,,,CN_000079_021_texte.txt,CS_000026_026_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atteinte d' imbé- cillité,0.774,0.769,0.772,,,CN_000079_021_texte.txt,CY_000114_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manière imparfaite,0.779,0.764,0.772,,,CL_000001_002_texte.txt, CN_000070_012_texte.txt,CO_000090_008_texte.txt, CO_000091_009_texte.txt, CY_000109_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossissement suffisant,0.777,0.767,0.772,,,CN_000029_001_texte.txt, CN_000081_001_texte.txt,CO_000088_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sifflements d' oreilles,0.754,0.79,0.772,,,CL_000009_002_texte.txt, CN_000046_018_texte.txt, CN_000058_030_texte.txt, CN_000081_001_texte.txt,CH_00000084_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
influence d' excitations,0.785,0.76,0.772,,,CN_000059_001_texte.txt, CN_000069_011_texte.txt,CO_000090_008_texte.txt, CS_000012_012_texte.txt, CS_000014_014_texte.txt, CS_000017_017_texte.txt, CS_000020_020_texte.txt, CS_000021_021_texte.txt, CS_000022_022_texte.txt, CY_000101_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altérations ultérieures,0.775,0.769,0.772,,,CN_000061_003_texte.txt,CS_000025_025_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' inclinaison,0.781,0.763,0.772,,,CN_000044_016_texte.txt,CS_000005_005_texte.txt, CS_000006_006_texte.txt, CS_000018_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altération du parenchyme,0.791,0.753,0.772,,,CN_000063_005_texte.txt, CN_000080_022_texte.txt,CS_000022_022_texte.txt, CY_000096_002_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' acromégalie,0.77,0.773,0.772,,,CN_000059_001_texte.txt, CN_000063_005_texte.txt, CN_000064_006_texte.txt, CN_000066_008_texte.txt, CN_000069_011_texte.txt, CN_000080_022_texte.txt,CS_000003_003_texte.txt, CS_000010_010_texte.txt, CS_000015_015_texte.txt, CS_000018_018_texte.txt, CS_000019_019_texte.txt, CS_000020_020_texte.txt, CS_000021_021_texte.txt, CS_000022_022_texte.txt, CS_000023_023_texte.txt, CS_000024_024_texte.txt, CS_000025_025_texte.txt, CS_000026_026_texte.txt, CS_000027_027_texte.txt, CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
étude des antécédents,0.776,0.769,0.772,,,CN_000034_006_texte.txt, CN_000068_010_texte.txt,CO_000093_011_texte.txt, CS_000003_003_texte.txt, CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excès d' indican,0.757,0.786,0.772,,,CN_000081_001_texte.txt,CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
livre de m.,0.767,0.777,0.772,,,CN_000058_030_texte.txt, CN_000081_001_texte.txt,CH_00000091_texte.txt, CH_00000096_texte.txt, CH_00000099_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oligodactylie cubitale,0.769,0.774,0.772,,,CN_000066_008_texte.txt,CS_000011_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amyotrophie d' origine,0.773,0.772,0.772,oui,,CN_000039_011_texte.txt, CN_000053_025_texte.txt, CN_000073_015_texte.txt, CN_000080_022_texte.txt,CO_000093_011_texte.txt, CS_000007_007_texte.txt, CS_000008_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aliénés paralytiques,0.776,0.768,0.772,,,CN_000037_009_texte.txt, CN_000049_021_texte.txt, CN_000056_028_texte.txt, CN_000061_003_texte.txt,CS_000008_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' hémorrhagie,0.769,0.776,0.772,,,CN_000029_001_texte.txt, CN_000030_002_texte.txt, CN_000034_006_texte.txt, CN_000045_017_texte.txt, CN_000046_018_texte.txt, CN_000068_010_texte.txt, CN_000069_011_texte.txt, CN_000071_013_texte.txt, CN_000073_015_texte.txt, CN_000074_016_texte.txt, CN_000077_019_texte.txt, CN_000082_002_texte.txt,CS_000014_014_texte.txt, CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fort grossissement,0.768,0.775,0.772,,,CN_000031_003_texte.txt, CN_000032_004_texte.txt, CN_000047_019_texte.txt,CS_000006_006_texte.txt, CS_000016_016_texte.txt, CS_000027_027_texte.txt, CY_000115_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramifications protoplas- miques,0.766,0.779,0.772,,,CN_000061_003_texte.txt,CO_000088_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psychoses d' intoxication,0.766,0.778,0.772,,,CN_000072_014_texte.txt, CN_000078_020_texte.txt, CN_000080_022_texte.txt,CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
établissements d' aliénés,0.774,0.769,0.772,,,CN_000033_005_texte.txt, CN_000037_009_texte.txt, CN_000041_013_texte.txt, CN_000044_016_texte.txt, CN_000045_017_texte.txt, CN_000046_018_texte.txt, CN_000049_021_texte.txt, CN_000051_023_texte.txt, CN_000053_025_texte.txt, CN_000057_029_texte.txt, CN_000063_005_texte.txt, CN_000064_006_texte.txt, CN_000065_007_texte.txt, CN_000066_008_texte.txt, CN_000072_014_texte.txt, CN_000076_018_texte.txt, CN_000079_021_texte.txt, CN_000080_022_texte.txt, CN_000081_001_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idée d' hystérie,0.764,0.78,0.772,,,CN_000037_009_texte.txt, CN_000040_012_texte.txt,CO_000090_008_texte.txt, CS_000001_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progrès par rapport,0.765,0.779,0.772,,,CN_000061_003_texte.txt,CY_000099_005_texte.txt, CY_000108_014_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ganglions mésen-,0.762,0.783,0.772,,,CN_000063_005_texte.txt,CY_000118_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altérations constantes,0.772,0.772,0.772,,,CN_000038_010_texte.txt,CS_000016_016_texte.txt, CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antécédents nerveux héréditaires,0.753,0.791,0.772,,,CN_000043_015_texte.txt, CN_000051_023_texte.txt,CS_000001_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospices d' aliénés,0.783,0.761,0.772,,,CN_000038_010_texte.txt, CN_000041_013_texte.txt, CN_000042_014_texte.txt, CN_000044_016_texte.txt, CN_000046_018_texte.txt,CH_00000096_texte.txt, CY_000105_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
influence d' irritations,0.763,0.782,0.772,,,CN_000061_003_texte.txt,CS_000002_002_texte.txt, CS_000022_022_texte.txt, CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apophyse coracoïde,0.77,0.774,0.772,,,CN_000030_002_texte.txt, CN_000040_012_texte.txt,CO_000093_011_texte.txt, CS_000002_002_texte.txt, CS_000009_009_texte.txt, CS_000011_011_texte.txt, CS_000012_012_texte.txt, CS_000016_016_texte.txt, CS_000018_018_texte.txt, CS_000022_022_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
processus de dégénérescence,0.777,0.765,0.771,,,CN_000059_001_texte.txt, CN_000061_003_texte.txt, CN_000064_006_texte.txt, CN_000071_013_texte.txt, CN_000074_016_texte.txt, CN_000079_021_texte.txt,CO_000088_006_texte.txt, CS_000009_009_texte.txt, CS_000013_013_texte.txt, CS_000017_017_texte.txt, CS_000018_018_texte.txt, CS_000019_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nom d' hérédité,0.753,0.788,0.771,,,CN_000064_006_texte.txt,CS_000012_012_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pas d' altération,0.76,0.781,0.771,,,CN_000033_005_texte.txt, CN_000045_017_texte.txt, CN_000070_012_texte.txt,CS_000002_002_texte.txt, CS_000012_012_texte.txt, CS_000022_022_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ictus épileptique,0.771,0.77,0.771,,,CN_000034_006_texte.txt, CN_000036_008_texte.txt, CN_000048_020_texte.txt, CN_000054_026_texte.txt, CN_000056_028_texte.txt, CN_000059_001_texte.txt, CN_000060_002_texte.txt, CN_000072_014_texte.txt, CN_000077_019_texte.txt,CO_000093_011_texte.txt, CY_000106_012_texte.txt, CY_000112_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secousses d' ouverture,0.769,0.773,0.771,,,CN_000059_001_texte.txt,CO_000093_011_texte.txt, CS_000012_012_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phénomènes d' atrophie,0.767,0.774,0.771,,,CN_000065_007_texte.txt,CS_000024_024_texte.txt, CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autopsie de sujets,0.769,0.773,0.771,,,CN_000043_015_texte.txt, CN_000056_028_texte.txt,CS_000014_014_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divergences d' opinions,0.775,0.766,0.771,,,CN_000036_008_texte.txt, CN_000044_016_texte.txt, CN_000074_016_texte.txt, CN_000082_002_texte.txt,CL_000007_001_texte.txt, CS_000005_005_texte.txt, CS_000009_009_texte.txt, CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' athétose double,0.786,0.756,0.771,,,CN_000042_014_texte.txt,CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efforts d' accommodation,0.768,0.774,0.771,,,CN_000032_004_texte.txt, CN_000033_005_texte.txt, CN_000043_015_texte.txt, CN_000070_012_texte.txt, CN_000071_013_texte.txt, CN_000078_020_texte.txt,CH_00000095_texte.txt, CS_000011_011_texte.txt, CS_000012_012_texte.txt, CS_000014_014_texte.txt, CS_000022_022_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attaque d' apo-,0.757,0.785,0.771,,,CN_000029_001_texte.txt, CN_000067_009_texte.txt,CY_000102_008_texte.txt, CY_000110_016_texte.txt, CY_000114_020_texte.txt, CY_000118_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ignorance des médecins,0.757,0.784,0.771,,,CN_000058_030_texte.txt,CS_000005_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
état d' asthénie,0.763,0.779,0.771,,,CN_000056_028_texte.txt, CN_000078_020_texte.txt, CN_000081_001_texte.txt,CH_00000095_texte.txt, CS_000017_017_texte.txt, CS_000027_027_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapidité d' évolution,0.771,0.771,0.771,,,CN_000058_030_texte.txt, CN_000062_004_texte.txt, CN_000063_005_texte.txt, CN_000065_007_texte.txt, CN_000067_009_texte.txt, CN_000069_011_texte.txt,CO_000088_006_texte.txt, CO_000093_011_texte.txt, CS_000012_012_texte.txt, CS_000018_018_texte.txt, CS_000024_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
différence d' amplitude,0.767,0.775,0.771,,,CN_000029_001_texte.txt, CN_000065_007_texte.txt,CO_000090_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syphilis congénitale,0.773,0.769,0.771,,,CN_000037_009_texte.txt, CN_000051_023_texte.txt, CN_000065_007_texte.txt, CN_000067_009_texte.txt, CN_000072_014_texte.txt, CN_000078_020_texte.txt,CS_000004_004_texte.txt, CS_000005_005_texte.txt, CS_000009_009_texte.txt, CS_000010_010_texte.txt, CS_000018_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spondylose rhyzomélique,0.783,0.758,0.771,,,CN_000076_018_texte.txt,CS_000020_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attaques d' éclampsie,0.771,0.771,0.771,,,CN_000035_007_texte.txt, CN_000036_008_texte.txt, CN_000057_029_texte.txt, CN_000068_010_texte.txt,CY_000107_013_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affaiblissement des facultés,0.781,0.762,0.771,,,CN_000076_018_texte.txt,CY_000111_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continence d' urine,0.779,0.763,0.771,,,CN_000046_018_texte.txt,CS_000006_006_texte.txt, CY_000110_016_texte.txt, CY_000119_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question d' hérédité,0.782,0.76,0.771,,,CN_000034_006_texte.txt,CS_000018_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptômes paralytiques,0.764,0.778,0.771,,,CL_000001_004_texte.txt, CN_000030_002_texte.txt, CN_000032_004_texte.txt, CN_000045_017_texte.txt, CN_000051_023_texte.txt, CN_000063_005_texte.txt,CS_000013_013_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essais d' hypnotisation,0.754,0.789,0.771,,,CN_000047_019_texte.txt, CN_000071_013_texte.txt,CY_000104_010_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
établissement d' aliénés,0.775,0.767,0.771,,,CN_000033_005_texte.txt, CN_000034_006_texte.txt, CN_000041_013_texte.txt, CN_000043_015_texte.txt, CN_000046_018_texte.txt, CN_000068_010_texte.txt, CN_000069_011_texte.txt, CN_000070_012_texte.txt, CN_000079_021_texte.txt, CN_000081_001_texte.txt,CO_000093_011_texte.txt, CY_000107_013_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effort d' accommodation,0.779,0.762,0.771,,,CN_000032_004_texte.txt,CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forme d' épilepsie,0.769,0.772,0.77,,,CN_000029_001_texte.txt, CN_000036_008_texte.txt, CN_000042_014_texte.txt,CS_000004_004_texte.txt, CS_000027_027_texte.txt, CY_000097_003_texte.txt, CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faits d' hérédité,0.776,0.764,0.77,,,CN_000073_015_texte.txt,CS_000018_018_texte.txt, CS_000027_027_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulcération trophique,0.758,0.781,0.77,,,CN_000059_001_texte.txt,CO_000093_011_texte.txt, CS_000007_007_texte.txt, CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
étiologie syphilitique,0.747,0.792,0.77,,,CN_000035_007_texte.txt,CS_000021_021_texte.txt, CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation d' hydrocéphalie,0.755,0.786,0.77,,,CN_000068_010_texte.txt,CS_000025_025_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phénomène d' auto-suggestion,0.755,0.784,0.77,,,CL_000001_009_texte.txt, CN_000045_017_texte.txt,CH_00000079_texte.txt, CH_00000098_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dégénérescence hyaline,0.759,0.78,0.77,,,CN_000037_009_texte.txt, CN_000047_019_texte.txt, CN_000053_025_texte.txt, CN_000064_006_texte.txt, CN_000066_008_texte.txt, CN_000069_011_texte.txt, CN_000074_016_texte.txt, CN_000075_017_texte.txt, CN_000082_002_texte.txt,CS_000003_003_texte.txt, CS_000014_014_texte.txt, CS_000015_015_texte.txt, CS_000017_017_texte.txt, CS_000023_023_texte.txt, CS_000028_028_texte.txt, CY_000105_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accès de convulsions,0.768,0.772,0.77,,,CN_000040_012_texte.txt, CN_000071_013_texte.txt, CN_000073_015_texte.txt,CY_000096_002_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infantilisme d' origine,0.78,0.76,0.77,,,CN_000079_021_texte.txt,CS_000023_023_texte.txt, CS_000024_024_texte.txt, CS_000026_026_texte.txt, CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation d' amyotrophie,0.774,0.766,0.77,oui,,CN_000061_003_texte.txt,CS_000012_012_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' excitabilité,0.785,0.755,0.77,,,CN_000037_009_texte.txt, CN_000044_016_texte.txt, CN_000063_005_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inégalité des pupilles,0.774,0.765,0.77,,,CN_000029_001_texte.txt, CN_000037_009_texte.txt, CN_000066_008_texte.txt, CN_000069_011_texte.txt, CN_000072_014_texte.txt, CN_000073_015_texte.txt,CO_000090_008_texte.txt, CS_000006_006_texte.txt, CS_000013_013_texte.txt, CS_000017_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zones d' hyperesthésie,0.778,0.762,0.77,,,CN_000079_021_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pas d' antécédents,0.764,0.776,0.77,,,CL_000001_003_texte.txt, CL_000001_007_texte.txt, CL_000001_008_texte.txt, CN_000029_001_texte.txt, CN_000030_002_texte.txt, CN_000031_003_texte.txt, CN_000034_006_texte.txt, CN_000035_007_texte.txt, CN_000042_014_texte.txt, CN_000044_016_texte.txt, CN_000045_017_texte.txt, CN_000046_018_texte.txt, CN_000051_023_texte.txt, CN_000053_025_texte.txt, CN_000063_005_texte.txt, CN_000069_011_texte.txt, CN_000071_013_texte.txt, CN_000072_014_texte.txt, CN_000076_018_texte.txt,CH_00000082_texte.txt, CS_000002_002_texte.txt, CS_000006_006_texte.txt, CS_000011_011_texte.txt, CS_000013_013_texte.txt, CS_000015_015_texte.txt, CS_000018_018_texte.txt, CS_000021_021_texte.txt, CS_000022_022_texte.txt, CS_000028_028_texte.txt, CY_000102_008_texte.txt, CY_000104_010_texte.txt, CY_000105_011_texte.txt, CY_000107_013_texte.txt, CY_000112_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
